TTL,Walkers,Trial,FN_Percent,Messages,Found
1,1,0,100.00,1,0
1,1,1,100.00,1,0
1,1,2,100.00,1,0
1,1,3,100.00,1,0
1,1,4,100.00,1,0
1,1,5,100.00,1,0
1,1,6,100.00,1,0
1,1,7,100.00,1,0
1,1,8,100.00,1,0
1,1,9,100.00,1,0
1,2,0,100.00,2,0
1,2,1,100.00,2,0
1,2,2,100.00,2,0
1,2,3,100.00,2,0
1,2,4,100.00,2,0
1,2,5,100.00,2,0
1,2,6,100.00,2,0
1,2,7,100.00,2,0
1,2,8,100.00,2,0
1,2,9,100.00,2,0
1,3,0,100.00,3,0
1,3,1,100.00,3,0
1,3,2,100.00,3,0
1,3,3,100.00,3,0
1,3,4,100.00,3,0
1,3,5,100.00,3,0
1,3,6,100.00,3,0
1,3,7,100.00,3,0
1,3,8,100.00,3,0
1,3,9,100.00,3,0
2,1,0,100.00,2,0
2,1,1,100.00,2,0
2,1,2,100.00,2,0
2,1,3,100.00,2,0
2,1,4,100.00,2,0
2,1,5,100.00,2,0
2,1,6,100.00,2,0
2,1,7,100.00,2,0
2,1,8,100.00,2,0
2,1,9,100.00,2,0
2,2,0,100.00,4,0
2,2,1,100.00,4,0
2,2,2,90.91,5,1
2,2,3,100.00,4,0
2,2,4,100.00,4,0
2,2,5,100.00,4,0
2,2,6,100.00,4,0
2,2,7,100.00,4,0
2,2,8,100.00,4,0
2,2,9,100.00,4,0
2,3,0,100.00,6,0
2,3,1,100.00,6,0
2,3,2,100.00,6,0
2,3,3,100.00,6,0
2,3,4,100.00,6,0
2,3,5,100.00,6,0
2,3,6,100.00,6,0
2,3,7,100.00,6,0
2,3,8,100.00,6,0
2,3,9,100.00,6,0
3,1,0,100.00,3,0
3,1,1,100.00,3,0
3,1,2,100.00,3,0
3,1,3,100.00,3,0
3,1,4,100.00,3,0
3,1,5,100.00,3,0
3,1,6,100.00,3,0
3,1,7,100.00,3,0
3,1,8,100.00,3,0
3,1,9,100.00,3,0
3,2,0,100.00,6,0
3,2,1,90.91,7,1
3,2,2,100.00,6,0
3,2,3,100.00,6,0
3,2,4,100.00,6,0
3,2,5,100.00,6,0
3,2,6,100.00,6,0
3,2,7,100.00,6,0
3,2,8,100.00,6,0
3,2,9,100.00,6,0
3,3,0,100.00,13,0
3,3,1,100.00,9,0
3,3,2,81.82,11,2
3,3,3,100.00,9,0
3,3,4,90.91,10,1
3,3,5,100.00,9,0
3,3,6,100.00,9,0
3,3,7,100.00,9,0
3,3,8,100.00,9,0
3,3,9,90.91,10,1
